lion 사자
tiger 호랑이
lemon 레몬
pencil 연필
dog 개
cat 고양이
elephant 코끼리
giraffe 기린
zebra 얼룩말
kangaroo 캥거루
koala 코알라
panda 판다
rabbit 토끼
fox 여우
wolf 늑대
bear 곰
deer 사슴
otter 수달
monkey 원숭이
gorilla 고릴라
hippopotamus 하마
rhinoceros 코뿔소
crocodile 악어
alligator 악어
leopard 표범
cheetah 치타
jaguar 재규어
panther 팬더
horse 말
donkey 당나귀
mule 노새
cow 소
bull 수소
sheep 양
goat 염소
pig 돼지
chicken 닭
duck 오리
turkey 칠면조
peacock 공작
parrot 앵무새
owl 올빼미
eagle 독수리
falcon 매
vulture 독수리
hawk 매
seagull 갈매기
penguin 펭귄
bat 박쥐
bee 벌
butterfly 나비
ant 개미
spider 거미
dragonfly 잠자리
mosquito 모기
fly 파리
worm 벌레
snail 달팽이
lobster 랍스터
shrimp 새우
crab 게
clam 조개
octopus 문어
squid 오징어
starfish 불가사리
coral 산호
seaweed 해조류
jellyfish 해파리
whale 고래
dolphin 돌고래
shark 상어
ray 가오리
seal 바다표범
walrus 바다코끼리
manatee 마나티
polarbear 북극곰
turtle 거북이
snake 뱀
lizard 도마뱀
gecko 도마뱀
chameleon 카멜레온
iguana 이구아나
frog 개구리
toad 두꺼비
newt 도롱뇽
buffalo 버팔로
bison 들소
camel 낙타
llama 라마
alpaca 알파카
armadillo 아르마딜로
otter 수달
mole 두더지
gerbil 저빌
hamster 햄스터
guineapig 기니피그
mouse 쥐
watermelon 수박
squirrel 다람쥐
orange 오렌지
